# File Inventory: Git-Tracked Files"path";"size";"tracked";"sha256";"modified";"last_commit";"author";"commit_date";"commit_count"

# Repository: menschlichkeit-oesterreich-development".bandit";"454";"yes";"47597217E938167F62D5CFD3DA602BABC1F4FA6E9A7A05D188021C78E068DE64";"2025-10-16 18:02:03";"9c6919af";"Copilot";"2025-10-12";"1"

# Branch: chore/repo-docs-issues-reorg".codacy.yml";"455";"yes";"C0B5C75384BC043644FA21D5A6E26018A64C83B2D508A8375A120097880C6660";"2025-10-16 18:02:03";"981da275";"Peter Schuller";"2025-10-14";"1"

# Snapshot: 2025-10-17".codacy/cli.sh";"3818";"yes";"1BB82234E74E5385AE6A6E93CB61CBC3356FDFFDEB36F907686B88679C0CD82C";"2025-10-16 18:02:03";"c1c6c301";"Peter Schuller";"2025-10-16";"2"

# Total Files: 15,741 | Total Size: 111.24 MB".codacy/codacy-analysis-cli-assembly.jar";"133";"yes";"65B3EF370599D783C9766A8877EF43ADB42421522820C4D50B7F308FBF791485";"2025-10-16 18:02:04";"89172afd";"Peter Schuller";"2025-10-04";"1"

".codacy/codacy.yaml";"507";"yes";"EBEA2B180D6B584E5D90DF220CDE0E3B39202E6C2E67CD9E7B9B3A1C3EC43119";"2025-10-16 18:02:04";"7cf2d55a";"Peter Schuller";"2025-10-12";"2"

# EXECUTIVE SUMMARY".codacyrc";"304";"yes";"77CB37E37A907CA7094AC68B2E0540807E323E28818677DD0DBDBC3716CECADD";"2025-10-16 18:02:04";"981da275";"Peter Schuller";"2025-10-14";"1"

# - Massive Drupal/CiviCRM installation: 14,357 files (91.2%) in crm.menschlichkeit-oesterreich.at/".devcontainer/FIXES-2025-10-14.md";"5766";"yes";"A6E7FF3F6BF6C65891C8AF611CB0A1E666FFAE5387ED5FE0DA0C3181020F6E02";"2025-10-16 18:02:04";"818a56a9";"Copilot";"2025-10-14";"1"

# - Top File Types: PHP (8,024), YAML (3,281), Twig (1,009), CSS (868), Markdown (517)".devcontainer/POWERSHELL.md";"1956";"yes";"30E7509ADDEC25A2AE9E71ABD8399B2C1E37DB78579A008C7AF950E01E5A210D";"2025-10-16 18:02:04";"0de8542e";"Copilot";"2025-10-13";"1"

# - Top Contributors: Peter Schuller (56 commits), copilot-swe-agent[bot] (46), dependabot (39)".devcontainer/POWERSHELL_QUICKREF.md";"5402";"yes";"F83E4FF8E283834ABFCFC91F3E687D4D15FF5751FCC1029C6037FC95752D0F0F";"2025-10-16 18:02:04";"e0ca42ee";"Repo Maintenance Bot";"2025-10-11";"1"

